name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
61 Vir d,Confirmed,,0.008,0.008,0.072,0.008,0.008,,,,123.01,0.55,0.55,0.476,0.001,0.001,0.35,0.09,0.09,,,,0.055869,2009,2023-08-28,314.0,20.0,20.0,2453369.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 115617 d,,61 Vir,199.6,-18.3111111,4.74,,,,,8.52,0.05,0.05,-0.01,,,0.95,0.03,0.03,0.94,0.029,0.029,G5V,8.96,3.0,3.0,5531.0,,,Imaging,,HD 115617
6 Lyn b,Confirmed,,0.077,0.077,2.01,0.077,0.077,,,,934.3,8.6,8.6,2.11,0.11,0.11,0.073,0.036,0.036,,,,0.038664,2008,2021-04-11,130.0,38.0,38.0,2455384.0,94.0,94.0,,,,,,,,,,,,,,,,,,,32.8,1.2,1.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,6 Lyn,97.6958333,58.1627778,5.86,4.8,4.27,3.03,3.7,56.9,2.5,2.5,-0.13,0.02,0.02,1.7,0.2,0.2,5.2,0.3,0.3,K0IV,,,,4978.0,18.0,18.0,,,
70 Vir Ab,Confirmed,,,,6.6,,,,,,116.67,0.01,0.01,0.48,,,0.43,,,,,,0.021818,1996,2025-02-11,2.1,2.0,2.0,2448990.403,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,70 Vir A,202.1083333,13.7866667,5.0,,,,,22.0,,,-0.11,,,0.92,,,1.968,0.047,0.047,G4 V,7.09,,,5432.0,,,IR Excess,,"HD 117176, GJ 512.1"
75 Cet Ab,Confirmed,,0.09,0.07,2.48,0.09,0.07,,,,696.6,3.6,3.6,1.912,0.003,0.002,0.093,0.04,0.03,,,,,2012,2024-08-02,203.0,10.0,314.0,2455046.9,54.0,54.0,,,,,,,,,,,,,,,,,,,36.92,1.35,1.1,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,75 Cet A,38.0375,-1.035,5.36,,,,,81.5,7.51,7.51,0.0,0.04,0.04,2.49,0.02,0.27,10.5,1.0,1.0,G3III,,,,4846.0,18.0,18.0,,,
75 Cet Ac,Confirmed,,0.09,0.09,0.91,0.09,0.09,,,,2052.0,40.0,46.0,3.929,0.058,0.052,0.023,,,,,,,2023,2024-07-31,123.0,6.0,156.0,2454285.0,181.0,106.0,,,,,,,,,,,,,,,,,,,9.44,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,75 Cet A,38.0375,-1.035,5.36,,,,,81.5,7.51,7.51,0.0,0.04,0.04,2.49,0.02,0.27,10.5,1.0,1.0,G3III,,,,4846.0,18.0,18.0,,,
79 Cet Ab,Confirmed,,0.03,0.03,0.215,0.03,0.03,,,,75.82,0.4,0.4,0.35,,,0.28,0.15,0.15,,,,0.009749,2000,2024-07-29,41.0,22.0,22.0,2451547.2,4.1,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 16141 b,,79 Cet A,38.8291667,-3.5605556,6.78,,,,,35.9,,,0.02,,,1.01,,,1.0,,,G5 IV,7.76,,,5533.0,,,,,"HD 16141, HIP 12048"
81 Cet b,Confirmed,,,,5.3,,,,,,952.7,8.8,8.8,2.5,,,0.206,0.029,0.029,,,,0.02572,2008,2014-08-27,175.0,6.9,6.9,2452486.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,81 Cet,39.425,-3.3961111,5.65,,3.94,3.38,3.27,97.2,9.2,9.2,-0.06,0.03,0.03,2.4,0.4,0.4,11.0,0.1,0.1,G5III,,,,,,,,,
82 Eri b,Confirmed,,0.00053,0.00053,0.00676,0.00053,0.00053,,,,18.3142,0.002,0.002,0.1257,0.0005,0.0005,0.065,0.046,0.065,,,,0.019917,2011,2024-11-04,26.0,5.0,27.0,246083.26,0.54,0.54,,,,,,,,,,,,,,,,,,,0.61,0.05,0.05,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"e Eri b, HD 20794 b",,82 Eri,49.9833333,-43.0697222,4.26,,,,,6.06,,,-0.38,0.06,0.06,0.813,0.012,0.018,0.9,0.03,0.03,G8V,14.0,5.0,6.0,5490.0,70.0,70.0,IR Excess,,"e Eri, HD 20794, GJ 139"
82 Eri c,Confirmed,,0.0025,0.0016,0.00793,0.0025,0.0016,,,,89.68,0.1,0.1,0.3625,0.0016,0.0016,0.077,0.055,0.084,,,,0.033597,2011,2024-11-04,,,,2460356.2,4.5,5.2,,,,,,,,,,,,,,,,,,,0.5,0.05,0.05,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"HD 20794 c, e Eri c",,82 Eri,49.9833333,-43.0697222,4.26,,,,,6.06,,,-0.38,0.06,0.06,0.813,0.012,0.018,0.9,0.03,0.03,G8V,14.0,5.0,6.0,5490.0,70.0,70.0,IR Excess,,"e Eri, HD 20794, GJ 139"
82 Eri d,Confirmed,,0.00179,0.00179,0.01831,0.00179,0.00179,,,,647.6,2.7,2.5,1.354,0.007,0.007,0.45,0.1,0.1,,,,0.057739,2011,2024-11-04,252.0,44.0,48.0,2459933.0,17.0,22.0,,,,,,,,,,,,,,,,,,,0.57,0.07,0.07,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"e Eri d, HD 20794 d",,82 Eri,49.9833333,-43.0697222,4.26,,,,,6.06,,,-0.38,0.06,0.06,0.813,0.012,0.018,0.9,0.03,0.03,G8V,14.0,5.0,6.0,5490.0,70.0,70.0,IR Excess,,"e Eri, HD 20794, GJ 139"
82 Eri e,Confirmed,,0.00271,0.00302,0.01501,0.00271,0.00302,,,,147.02,0.91,1.43,0.509,0.006,0.006,0.29,0.17,0.14,,,,,2017,2024-05-28,268.0,32.0,47.0,,,,,,,,,,,,,,,,,,,,,,0.69,0.13,0.15,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"e Eri e, HD 20794 e",,82 Eri,49.9833333,-43.0697222,4.26,,,,,6.06,,,-0.38,0.06,0.06,0.813,0.012,0.018,0.9,0.03,0.03,G8V,14.0,5.0,6.0,5490.0,70.0,70.0,IR Excess,,"e Eri, HD 20794, GJ 139"
8 Umi b,Confirmed,,0.06,0.06,1.65,0.06,0.06,,,,93.31,0.06,0.06,0.462,0.006,0.006,0.062,0.18,0.18,,,,,2015,2024-01-11,53.8,26.0,30.0,2457601.379,6.9,7.8,,,,,,,,,,,,,,,,,,,56.1,1.7,1.7,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,"C, Mg, N, Y",8 Umi,224.200000016,74.900833352,6.83,,,,,159.1,11.0,11.0,-0.03,0.02,0.02,1.8,0.1,0.1,9.9,0.4,0.4,K0,1.7,0.2,0.2,4847.4,7.5,7.5,,,
94 Cet Ab,Confirmed,,0.12,0.12,1.37,0.12,0.12,,,,466.2,1.7,1.7,1.305,0.016,0.016,0.063,0.062,0.062,,,,0.06345,2003,2024-07-29,346.0,55.0,55.0,2453757.0,72.0,72.0,,,,,,,,,,,,,,,,,,,29.3,2.1,2.1,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,"HD 19994 Ab, GJ 128 Ab, HR 962 Ab",,94 Cet A,48.1916667,-1.1958333,5.07,,,,,22.38,,,0.25,,,1.34,,,1.93,0.067,0.067,F8 V,8.91,,,5984.0,,,IR Excess,,"HD 19994 A, GJ 128 A, HR 962 A"
AB Aur b,Confirmed,9.0,15.0,17.0,,,,,,,,,,93.9,50.0,50.0,0.4,0.2,0.2,42.6,15.0,15.0,0.708333,2008,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,"Imaging, Other, Kinematic",Spectrum,,,,AB Aur,73.9416667,30.5511111,7.06,,,,,144.0,,,,,,2.4,0.2,0.2,,,,A0V,0.002,0.001,0.001,,,,,,
AB Pic c,Confirmed,5.75,3.25,3.25,,,,,,,,,,3.571,1.167,1.167,,,,,,,,2022,2025-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Astrometry,Astrometry,,,,AB Pic,94.8,-58.0541667,9.16,,,,,47.3,1.8,1.8,0.04,0.02,0.02,,,,,,,K2 V,0.03,,,5285.0,9.0,10.0,,,
AF Lep b,Confirmed,3.75,0.5,0.5,,,,1.3,0.15,0.15,8875.0,146.0,329.0,8.98,0.08,0.15,0.013,0.01,0.024,57.75,0.7,0.7,,2023,2024-11-12,289.0,21.0,13.0,2459606.0,360.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,800.0,,,,,,Published in a refereed paper,Imaging,Astrometry,Theoretical,,,AF Lep,81.770833335,-11.90111113,6.3,,,,,26.843,0.014,0.014,0.19,0.02,0.02,1.2,0.06,0.06,1.25,0.06,0.06,F8V,0.024,0.003,0.003,6130.0,60.0,60.0,,,
alf Ari b,Confirmed,,0.2,0.2,1.8,0.2,0.2,,,,380.8,0.3,0.3,1.2,,,0.25,0.03,0.03,,,,0.059406,2011,2011-04-18,89.16,6.84,6.84,2451213.52,7.36,7.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,alf Ari,31.7916667,23.4622222,2.01,,,,,20.2,,,-0.09,0.03,0.03,1.5,0.2,0.2,13.9,0.3,0.3,K2III,,,,4553.0,15.0,15.0,,,
AS 209 b,Confirmed,1.3,,,,,,,,,,,,200.0,,,,,,,,,,2022,2025-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,AS 209,252.312500005,-14.369166676,11.3,,,,,121.0,,,,,,1.2,,,2.18,,,K5,0.012,,,4265.0,,,Imaging,,
AT2021uey b,Confirmed,1.34,0.5,0.45,,,,,,,4170.0,1700.0,1700.0,4.01,1.34,1.68,,,,,,,,2025,2025-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,AT2021uey,324.5450416666667,26.466569444444445,,,,,,1040.0,440.0,740.0,,,,0.49,0.18,0.16,,,,M1V,,,,3680.0,204.0,307.0,,,
AU Mic b,Confirmed,0.028,0.0084,0.0082,,,,0.4273,0.027,0.027,8.463446,5e-06,5e-06,0.07,0.007,0.007,0.07,0.04,0.09,88.4,0.23,0.23,,2020,2024-07-26,-52.0,91.0,43.0,,,,,,,2458330.35078,0.0005,0.0005,,,,,,,0.5,0.05,0.05,,,,3.8,1.0,1.0,569.5,4.5,5.1,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,AU Mic,311.29166667,-31.340833346,8.6,,,,,9.79,0.04,0.04,,,,0.5,0.03,0.03,0.75,0.03,0.03,M1V,0.022,0.003,0.003,3700.0,100.0,100.0,,,
AU Mic c,Confirmed,0.0456,0.0107,0.0107,,,,0.2248,0.0223,0.0223,18.859023,2e-05,2e-05,0.119,0.01,0.01,0.18,0.08,0.08,89.09,0.2,0.2,,2020,2025-05-26,72.0,42.0,57.0,,,,,,,2458330.350878,0.0005,0.0005,,,,67.8,49.0,32.0,0.26,0.18,0.2,,,,4.7,1.0,1.0,436.0,3.4,3.9,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,AU Mic,311.29166667,-31.340833346,8.6,,,,,9.79,0.04,0.04,,,,0.5,0.03,0.03,0.75,0.03,0.03,M1V,0.022,0.003,0.003,3700.0,100.0,100.0,,,
AU Mic d,Confirmed,0.003187,0.000459,0.000459,,,,,,,12.73812,0.00128,0.00128,,,,0.00097,0.00042,0.00042,88.1,0.43,0.43,,2022,2023-02-23,357.0,2.9,2.9,,,,,,,2458333.3211,0.35836,0.35836,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,TTV,TTV,,,,AU Mic,311.29166667,-31.340833346,8.6,,,,,9.79,0.04,0.04,,,,0.5,0.03,0.03,0.75,0.03,0.03,M1V,0.022,0.003,0.003,3700.0,100.0,100.0,,,
Barnard's star b,Confirmed,,8.2e-05,8.2e-05,0.000941,8.2e-05,8.2e-05,,,,3.1542,0.0004,0.0004,0.02294,0.00033,0.00033,0.03,0.02,0.03,,,,,2024,2025-03-12,3.8,121.0,118.0,2460243.38,0.09,0.09,,,,,,,,,,,,,,,,,,,0.44,0.036,0.036,438.0,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,Barnard's star,269.454166683,4.693333355,9.5,,,,,1.82823,0.00013,0.00013,-0.56,,,0.162,0.007,0.007,0.185,0.006,0.006,M4V,8.5,1.5,1.5,3195.0,28.0,28.0,,,"GJ 699, V2500 Oph"
Barnard's star c,Confirmed,,9e-05,9e-05,0.001054,9e-05,9e-05,,,,4.1244,0.0006,0.0006,0.0274,0.0004,0.0004,0.08,0.06,0.06,,,,,2024,2025-03-12,90.8,38.0,39.0,2460242.92,0.1,0.1,,,,,,,,,,,,,,,,,,,0.44,0.04,0.04,400.0,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,Barnard's star,269.454166683,4.693333355,9.5,,,,,1.82823,0.00013,0.00013,-0.56,,,0.162,0.007,0.007,0.185,0.006,0.006,M4V,8.5,1.5,1.5,3195.0,28.0,28.0,,,"GJ 699, V2500 Oph"
Barnard's star d,Confirmed,,7.6e-05,7.6e-05,0.000827,7.6e-05,7.6e-05,,,,2.3402,0.0003,0.0003,0.0188,0.0003,0.0003,0.04,0.03,0.05,,,,,2024,2025-03-12,-51.8,94.0,191.0,2460243.7,0.08,0.08,,,,,,,,,,,,,,,,,,,0.43,0.036,0.036,483.0,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,Barnard's star,269.454166683,4.693333355,9.5,,,,,1.82823,0.00013,0.00013,-0.56,,,0.162,0.007,0.007,0.185,0.006,0.006,M4V,8.5,1.5,1.5,3195.0,28.0,28.0,,,"GJ 699, V2500 Oph"
Barnard's star e,Confirmed,,9e-05,9e-05,0.0006,9e-05,9e-05,,,,6.7392,0.003,0.003,0.0381,0.0005,0.0005,0.04,0.03,0.04,,,,,2024,2025-03-12,-27.5,96.0,137.0,2460245.3,0.37,0.37,,,,,,,,,,,,,,,,,,,0.22,0.037,0.037,340.0,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,Barnard's star,269.454166683,4.693333355,9.5,,,,,1.82823,0.00013,0.00013,-0.56,,,0.162,0.007,0.007,0.185,0.006,0.006,M4V,8.5,1.5,1.5,3195.0,28.0,28.0,,,"GJ 699, V2500 Oph"
b Cen (AB)b,Confirmed,10.9,1.6,1.6,,,,,,,1800000.0,825000.0,825000.0,556.0,17.0,17.0,0.4,0.4,0.0,143.0,15.0,15.0,,2021,2025-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,b Cen (AB),220.491666686,-37.793611135,4.0,,,,,99.7,3.1,3.1,,,,5.5,0.5,0.5,,,,B3V,0.015,0.002,0.002,,,,,,
BD+03 2562 b,Confirmed,,1.3,1.3,6.4,1.3,1.3,,,,481.9,2.8,2.7,1.3,0.1,0.1,0.2,0.08,0.12,,,,,2017,2017-06-30,218.0,26.0,32.0,2453726.0,32.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,BD+03 2562,177.564802922,2.76013113422,9.58,,,,,2618.0,564.0,564.0,-0.71,0.09,0.09,1.14,0.25,0.25,32.35,8.82,8.82,,5.25,2.0,2.0,4095.0,20.0,20.0,,,
BD-06 1339 c,Confirmed,,0.03,0.03,0.17,0.03,0.03,,,,125.94,0.44,0.44,0.435,0.007,0.007,0.31,0.11,0.11,,,,,2013,2021-04-11,41.0,55.0,55.0,2455265.2,17.6,17.6,,,,,,,,,,,,,,,,,,,9.1,2.9,2.9,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,GJ 221 c,,BD-06 1339,88.25,-5.9947,6.69,,,,,20.0,1.0,1.0,-0.14,0.17,0.17,0.7,,,,,,K7V/M0V,4.4,4.0,4.0,4324.0,100.0,100.0,,,GJ 221
BD-06 1339 d,Confirmed,,0.0296,0.0365,0.0582,0.0296,0.0365,,,,487.0,26.0,26.0,1.06,0.07,0.07,0.02,0.02,0.24,,,,,2014,2021-04-11,275.0,85.0,275.0,,,,,,,,,,,,,,,,,,,,,,2.03,1.06,1.17,,,,,,,,,,Submitted to a professional journal,Radial Velocity,Radial Velocity,,GJ 221 d,,BD-06 1339,88.25,-5.9947,6.69,,,,,20.0,1.0,1.0,-0.14,0.17,0.17,0.7,,,,,,K7V/M0V,4.4,4.0,4.0,4324.0,100.0,100.0,,,GJ 221
BD-06 1339 e,Confirmed,,0.0044,0.0047,0.0104,0.0044,0.0047,,,,2.3946,0.00044,0.00036,0.03,0.003,0.003,0.03,0.03,0.24,,,,,2019,2024-05-28,,,,,,,,,,,,,,,,,,,,,,,,,2.13,0.81,0.89,,,,,,,,,,Submitted to a professional journal,Radial Velocity,Radial Velocity,,GJ 221 e,,BD-06 1339,88.25,-5.9947,6.69,,,,,20.0,1.0,1.0,-0.14,0.17,0.17,0.7,,,,,,K7V/M0V,4.4,4.0,4.0,4324.0,100.0,100.0,,,GJ 221
BD-08 2823 b,Confirmed,,0.007,0.007,0.045,0.007,0.007,,,,5.6,0.02,0.02,0.056,0.002,0.002,0.15,0.15,0.15,,,,0.001327,2009,2019-06-13,30.0,100.0,100.0,2454637.7,1.6,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,BD-08 2823,150.2,-9.5166667,9.86,,,,,42.2,2.9,2.9,-0.07,0.03,0.03,0.74,0.07,0.07,,,,K3V,4.5,4.0,4.0,4746.0,63.0,63.0,,,
BD-08 2823 c,Confirmed,,0.03,0.03,0.33,0.03,0.03,,,,237.6,1.5,1.5,0.68,0.02,0.02,0.19,0.09,0.09,,,,0.016114,2009,2019-06-13,127.0,21.0,21.0,2454193.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,BD-08 2823,150.2,-9.5166667,9.86,,,,,42.2,2.9,2.9,-0.07,0.03,0.03,0.74,0.07,0.07,,,,K3V,4.5,4.0,4.0,4746.0,63.0,63.0,,,
BD-10 3166 b,Confirmed,,,,0.46,,,1.03,,,3.4878,0.0001,0.0001,0.046,,,0.0104,0.0192,0.0104,,,,0.000697,2000,2015-02-24,345.4,83.9,83.9,2451844.7,,,,,,,,,,,,,,,,,,,,,60.53,1.44,1.44,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,BD-10 3166,164.6166667,-10.7702778,10.08,,,,,66.0,,,0.5,,,0.99,,,1.71,,,G4 V,4.18,,,5400.0,,,,,
BD-11 4672 b,Confirmed,,0.05,0.05,0.65,0.05,0.05,,,,1634.0,14.0,14.0,2.36,0.04,0.04,0.05,0.05,0.05,,,,0.091575,2010,2020-06-26,344.0,67.0,93.0,2457915.3,34.0,48.0,,,,,,,,,,,,,,,,,,,14.9,1.2,1.1,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,BD-11 4672,278.370833343,-11.636111126,10.02,,,,,27.3,1.3,1.3,-0.48,0.05,0.05,0.571,0.014,0.014,0.52,0.02,0.02,K7V,4.4,4.0,4.0,4475.0,100.0,100.0,,,
BD-11 4672 c,Confirmed,,0.0066,0.009,0.04836,0.0066,0.009,,,,74.2,0.08,0.08,0.3,0.01,0.01,0.4,0.15,0.15,,,,,2020,2020-06-26,246.0,27.0,23.0,2458687.5,5.9,5.7,,,,,,,,,,,,,,,,,,,3.42,0.64,0.7,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,BD-11 4672,278.370833343,-11.636111126,10.02,,,,,27.3,1.3,1.3,-0.48,0.05,0.05,0.571,0.014,0.014,0.52,0.02,0.02,K7V,4.4,4.0,4.0,4475.0,100.0,100.0,,,
BD-14 3065 Ab,Confirmed,12.37,0.9,0.9,,,,1.93,0.09,0.09,4.2889731,5.2e-06,5.2e-06,0.0656,0.003,0.003,0.07,0.01,0.01,80.8,0.3,0.24,,2024,2025-11-29,54.0,9.0,6.0,,,,,,,2479313.48578,0.00076,0.00076,,,,,,,0.91,0.008,0.009,,,,1.21,0.07,0.07,2000.0,30.0,30.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"TOI-4987 Ab, TOI-4987.01",,BD-14 3065 A,153.66970833333332,15.642869444444443,11.0,,,,,566.7,,,-0.34,0.05,0.05,1.41,0.05,0.05,2.35,0.08,0.08,F2IV,9.35,0.05,0.05,6935.0,90.0,90.0,,,TOI-4987 A
BD+14 4559 b,Confirmed,,,,1.47,,,,,,268.94,0.99,0.99,0.777,,,0.29,0.03,0.03,,,,0.01554,2009,2016-02-23,87.64,7.87,7.87,2453294.21,6.35,6.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,BD+14 4559,318.4,14.6894444,9.63,,,,,50.0,4.0,4.0,0.1,0.07,0.07,0.86,0.15,0.15,,,,K2V,,,,5008.0,20.0,20.0,,,
BD+15 2375 b,Confirmed,,0.27,0.27,1.06,0.27,0.27,,,,153.22,0.44,0.44,0.576,0.027,0.027,0.001,0.001,0.25,,,,,2016,2016-03-21,55.0,17.0,240.0,2457680.0,630.0,700.0,,,,,,,,,,,,,,,,,,,38.3,1.0,2.3,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,BD+15 2375,176.483333352,14.616388914,10.3,,,,,774.0,165.0,165.0,-0.22,0.08,0.08,1.08,0.14,0.14,8.95,1.45,1.45,,7.4,,,4649.0,30.0,30.0,,,
BD+15 2940 b,Confirmed,,,,1.11,,,,,,137.48,0.34,0.34,0.539,,,0.26,0.1,0.1,,,,,2013,2013-04-30,302.0,33.0,33.0,2453464.0,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,BD+15 2940,240.0958,15.5469,9.19,,,,,585.0,455.0,455.0,0.28,0.07,0.07,1.1,0.2,0.2,14.7,2.8,2.8,K0,7.1,4.2,4.2,4796.0,117.0,117.0,,,
BD-17 63 b,Confirmed,5.325,0.036,0.036,5.1,0.12,0.12,,,,655.6,0.6,0.6,1.34,0.02,0.02,0.54,0.005,0.005,82.4,2.0,2.8,0.038728,2008,2024-06-29,112.2,1.9,1.9,2454627.1,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Astrometry,,,,BD-17 63,7.1416667,-16.2263889,9.62,,,,,34.6,1.5,1.5,-0.03,0.06,0.06,0.74,0.03,0.03,0.69,,,K5V,4.3,4.0,4.0,4714.0,93.0,93.0,,,
BD+20 2457 c,Confirmed,,,,12.47,,,,,,621.99,10.2,10.2,2.01,,,0.18,0.06,0.06,,,,0.01005,2009,2016-02-23,126.02,16.54,16.54,2453867.45,27.99,27.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,BD+20 2457,154.1875,19.8913889,9.75,,,,,1670.0,125.0,125.0,-1.0,0.07,0.07,2.8,1.5,1.5,,,,K2II,,,,4127.0,17.0,17.0,,,
BD+20 274 b,Confirmed,,,,4.2,,,,,,578.2,5.4,5.4,1.3,,,0.21,0.06,0.06,,,,,2010,2021-04-11,108.5,38.1,38.1,2453920.5,33.2,33.2,,,,,,,,,,,,,,,,,,,121.4,6.4,6.4,,,,,,,,,,Announced on a professional conference,Other,,,,,BD+20 274,25.9208333,21.005,9.36,,,,,,,,-0.46,0.07,0.07,0.8,0.2,0.2,17.3,0.9,0.9,K5,,,,4296.0,10.0,10.0,,,
BD+20 594 b,Confirmed,0.07,0.03,0.03,0.0513,0.019,0.019,0.23,0.01,0.01,41.6855,0.0031,0.0031,0.241,0.019,0.019,0.0,,,89.55,0.14,0.17,,2016,2021-02-05,,,,,,,,,,2457151.9021,0.0047,0.0042,,,,,,,,,,,,,3.1,1.1,1.1,386.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J03343623+2035574 b, EPIC 210848071 b, EPIC 210848071.01, K2-56 b, TYC 1242-608-1 b, WISE J033436.26+203556.7 b",,BD+20 594,53.650967,20.599232,11.0,,9.77,9.432,,180.39,1.25,1.25,-0.15,0.05,0.05,1.67,0.4,0.4,1.08,0.06,0.06,G,3.34,1.49,1.95,5766.0,99.0,99.0,,,"2MASS 03343623+2035574, 2MASS J03343623+2035574, EPIC 210848071, K2-56, TYC 1242-608-1, WISE J033436.26+203556.7"
BD-21 397 c,Confirmed,4.47,0.54,0.57,,,,,,,6369.25,248.2,803.0,5.96,0.16,0.49,0.296,0.13,0.079,140.0,7.8,5.1,,2023,2025-08-13,174.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,"Radial Velocity, Astrometry",Astrometry,,"HIP 10337 c, GJ 1044 c",,BD-21 397,33.300000004,-21.196388903,9.8,,,,,23.74,0.009,0.009,0.12,0.1,0.1,0.679,0.017,0.017,0.747,0.088,0.088,K7V,6.2,4.7,4.7,4051.0,239.0,239.0,,,"GJ 1044, HIP 10337"
BD+37 3172 b,Confirmed,,,,10.6,,,,,,1887.76,0.01,0.01,4.65,,,0.59,0.01,0.01,,,,,2023,2025-10-16,100.07,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,89.94,0.01,0.01,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,TYC 3105-1103-1 b,,BD+37 3172,278.8155,38.11533333333333,9.2,,,,,453.8,,,-0.03,0.16,0.16,3.75,0.86,0.86,50.24,28.97,28.97,K2II,,,,4500.0,250.0,250.0,,,TYC 3105-1103-1
